sr,name,country,role,capped,base,category,last_ipl_team,highlights,rating,matches,runs,strike_rate,wickets,economy,average
19,David Warner,Australia,BATTER,Capped,2 Cr,,Delhi Capitals,Former SRH title-winning captain | Multiple IPL Orange Caps | One of IPL's highest run-scorers,,,,,,,
20,Ravichandaran Ashwin,India,ALL-ROUNDER,Capped,2 Cr,,Chennai Super Kings,India's champion off-spinner | One of the game's smartest bowlers | CSK 2023 title winner,,,,,,,
21,Venkatesh Iyer,India,ALL-ROUNDER,Capped,2 Cr,,Kolkata Knight Riders,IPL 2024 title winner with KKR | Explosive all-round match-winner,80,,,,,,
22,Mitchell Marsh,Australia,ALL-ROUNDER,Capped,2 Cr,,Lucknow Super Giants,Australia's all-round option | 2021 & 2023 World Cup winner | Aggressive middle-order batter,80,,,,,,
23,Glenn Maxwell,Australia,ALL-ROUNDER,Capped,2 Cr,,Royal Challengers Bengaluru,Australia's dynamic all-rounder | 360-degree power-hitter | RCB middle-order finisher,80,,,,,,
24,Harshal Patel,India,ALL-ROUNDER,Capped,2 Cr,,Sunrisers Hyderabad,IPL 2021 Purple Cap winner | Death-overs specialist all-rounder,85,,,,,,
25,Rachin Ravindra,New Zealand,ALL-ROUNDER,Capped,1.50 Cr,,Chennai Super Kings,NZ all-rounder | 2023 ODI World Cup breakout batter | Left-arm spin & top-order runs,75,,,,,,
26,Marcus Stoinis,Australia,ALL-ROUNDER,Capped,2 Cr,,Punjab Kings,Australia's power-hitting all-rounder | Middle-order finisher & handy seam,80,,,,,,
27,Jonny Bairstow,England,WICKETKEEPER,Capped,2 Cr,,Punjab Kings,England keeper-batter | 2019 ODI & 2022 T20 World Cup winner | Aggressive opener,,,,,,,
28,Quinton De Kock,South Africa,WICKETKEEPER,Capped,2 Cr,,Kolkata Knight Riders,South Africa keeper-opener | Big-hitting powerplay batter,85,,,,,,
29,Rahmanullah Gurbaz,Afghanistan,WICKETKEEPER,Capped,2 Cr,,Kolkata Knight Riders,Afghanistan's explosive keeper-opener | Fearless powerplay hitter,70,,,,,,
30,Ishan Kishan,India,WICKETKEEPER,Capped,2 Cr,,Sunrisers Hyderabad,India keeper-batter | Fastest IPL fifty (13 balls) record | Explosive left-hander,85,,,,,,
31,Phil Salt,England,WICKETKEEPER,Capped,2 Cr,,Royal Challengers Bengaluru,England keeper-opener | Blazing powerplay strike rate,,,,,,,
32,Jitesh Sharma,India,WICKETKEEPER,Capped,1 Cr,,Royal Challengers Bengaluru,India keeper-batter | Aggressive lower-middle-order hitter,70,,,,,,
33,Syed Khaleel Ahmed,India,BOWLER,Capped,2 Cr,,Chennai Super Kings,India left-arm quick | New-ball & death-overs option,,,,,,,
34,Trent Boult,New Zealand,BOWLER,Capped,2 Cr,,Rajasthan Royals,New Zealand swing king | IPL 2020 title with MI | Elite powerplay wicket-taker,95,,,,,,
35,Josh Hazlewood,Australia,BOWLER,Capped,2 Cr,,Royal Challengers Bengaluru,"Australia's Test & T20 pace leader | Miserly, wicket-taking seamer",95,,,,,,
36,Avesh Khan,India,BOWLER,Capped,2 Cr,,Lucknow Super Giants,India quick | LSG new-ball & death bowler | Big-money buy (2025),70,,,,,,
37,Prasidh Krishna,India,BOWLER,Capped,2 Cr,,Gujarat Titans,India seamer | Aggressive new-ball & death bowler | Sharp pace,80,,,,,,
38,T. Natarajan,India,BOWLER,Capped,2 Cr,,Delhi Capitals,India yorker specialist | SRH 2021 death-overs star | Left-arm death bowler,75,,,,,,
39,Anrich Nortje,South Africa,BOWLER,Capped,2 Cr,,Delhi Capitals,South Africa express pace | Elite death-overs bowler | Sharp bounce & yorkers,70,,,,,,
40,Jofra Archer,England,BOWLER,Capped,2 Cr,,Rajasthan Royals,England 2019 World Cup winner | RR & MI new-ball match-winner | Genuine express pace,80,,,,,,
41,Noor Ahmad,Afghanistan,BOWLER,Capped,2 Cr,,Chennai Super Kings,"Afghanistan's teenage wrist-spin sensation | Big buy for CSK (10 Cr, 2025)",80,,,,,,
42,Rahul Chahar,India,BOWLER,Capped,1 Cr,,Rajasthan Royals,India leg-spinner | MI IPL 2020 title winner | Attacking wrist-spin,70,,,,,,
43,Wanindu Hasaranga,Sri Lanka,BOWLER,Capped,2 Cr,,Rajasthan Royals,Sri Lanka leg-spinning all-rounder | IPL 2022 Purple Cap winner (26 wickets),80,,,,,,
44,Waqar Salamkheil,Afghanistan,BOWLER,Capped,75 L,,,Afghanistan left-arm wrist-spinner | Emerging T20 wicket-taker,,,,,,,
45,Maheesh Theekshana,Sri Lanka,BOWLER,Capped,2 Cr,,Rajasthan Royals,Sri Lanka mystery off-spinner | Skiddy powerplay & middle-overs bowler,80,,,,,,
46,Adam Zampa,Australia,BOWLER,Capped,2 Cr,,Sunrisers Hyderabad,Australia's leading T20I leg-spinner | 2021 T20 World Cup winner | Consistent wicket-taker,75,,,,,,
47,Yash Dhull,India,BATTER,Uncapped,30 L,,,,,,,,,,
48,Abhinav Manohar,India,BATTER,Uncapped,30 L,,,,,,,,,,
49,Karun Nair,India,BATTER,Uncapped,30 L,,,,,,,,,,
50,Angkrish Raghuvanshi,India,BATTER,Uncapped,30 L,,,,60,,,,,,
51,Anmolpreet Singh,India,BATTER,Uncapped,30 L,,,,,,,,,,
52,Atharva Taide,India,BATTER,Uncapped,30 L,,,,,,,,,,
53,Nehal Wadhera,India,BATTER,Uncapped,30 L,,,,75,,,,,,
54,Harpreet Brar,India,ALL-ROUNDER,Uncapped,30 L,,,,70,,,,,,
55,Naman Dhir,India,ALL-ROUNDER,Uncapped,30 L,,,,75,,,,,,
56,Mahipal Lomror,India,ALL-ROUNDER,Uncapped,50 L,,,,70,,,,,,
57,Sameer Rizvi,India,ALL-ROUNDER,Uncapped,30 L,,,,,,,,,,
58,Abdul Samad,India,ALL-ROUNDER,Uncapped,30 L,,,,75,,,,,,
59,Vijay Shankar,India,ALL-ROUNDER,Uncapped,30 L,,,,70,,,,,,
60,Ashutosh Sharma,India,ALL-ROUNDER,Uncapped,30 L,,,,75,,,,,,
61,Nishant Sindhu,India,ALL-ROUNDER,Uncapped,30 L,,,,,,,,,,
62,Utkarsh Singh,India,ALL-ROUNDER,Uncapped,30 L,,,,,,,,,,
63,Aryan Juyal,India,WICKETKEEPER,Uncapped,30 L,,,,,,,,,,
64,Kumar Kushagra,India,WICKETKEEPER,Uncapped,30 L,,,,,,,,,,
65,Robin Minz,India,WICKETKEEPER,Uncapped,30 L,,,,,,,,,,
66,Anuj Rawat,India,WICKETKEEPER,Uncapped,30 L,,,,,,,,,,
67,Luvnith Sisodia,India,WICKETKEEPER,Uncapped,30 L,,,,,,,,,,
68,Vishnu Vinod,India,WICKETKEEPER,Uncapped,30 L,,,,,,,,,,
69,Upendra Singh Yadav,India,WICKETKEEPER,Uncapped,30 L,,,,,,,,,,
70,Vaibhav Arora,India,BOWLER,Uncapped,30 L,,,,65,,,,,,
71,Rasikh Dar,India,BOWLER,Uncapped,30 L,,,,,,,,,,
72,Akash Madhwal,India,BOWLER,Uncapped,30 L,,,,75,,,,,,
73,Mohit Sharma,India,BOWLER,Uncapped,50 L,,,,75,,,,,,
74,Simarjeet Singh,India,BOWLER,Uncapped,30 L,,,,,,,,,,
75,Yash Thakur,India,BOWLER,Uncapped,30 L,,,,60,,,,,,
76,Kartik Tyagi,India,BOWLER,Uncapped,40 L,,,,,,,,,,
77,Vyshak Vijaykumar,India,BOWLER,Uncapped,30 L,,,,,,,,,,
78,Piyush Chawla,India,BOWLER,Uncapped,50 L,,,,,,,,,,
79,Shreyas Gopal,India,BOWLER,Uncapped,30 L,,,,,,,,,,
80,Mayank Markande,India,BOWLER,Uncapped,30 L,,,,,,,,,,
81,Suyash Sharma,India,BOWLER,Uncapped,30 L,,,,,,,,,,
82,Karn Sharma,India,BOWLER,Uncapped,50 L,,,,,,,,,,
83,Kumar Kartikeya Singh,India,BOWLER,Uncapped,30 L,,,,,,,,,,
84,Manav Suthar,India,BOWLER,Uncapped,30 L,,,,,,,,,,
85,Mayank Agarawal,India,BATTER,Capped,1 Cr,,Sunrisers Hyderabad,Former PBKS & SRH captain | IPL 2020 Orange Cap runner-up | Attacking India opener,,,,,,,
86,Faf Du Plessis,South Africa,BATTER,Capped,2 Cr,,Delhi Capitals,Former RCB & CSK captain | CSK 2023 title winner | Multiple IPL 500-plus run seasons,,,,,,,
87,Glenn Phillips,New Zealand,BATTER,Capped,2 Cr,,,New Zealand power-hitting keeper-batter | Elite fielder | Explosive middle-order,85,,,,,,
88,Rovman Powell,West Indies,BATTER,Capped,1.50 Cr,,Kolkata Knight Riders,West Indies T20I captain | Powerful middle-order hitter,75,,,,,,
89,Ajinkya Rahane,India,BATTER,Capped,1.50 Cr,,,Former RR & KKR title-winning captain | Test & IPL veteran batter,75,,,,,,
90,Prithvi Shaw,India,BATTER,Capped,75 L,,,Explosive India opener | Record-breaking domestic run-scorer | DC top-order star,,,,,,,
91,Kane Williamson,New Zealand,BATTER,Capped,2 Cr,,,Former New Zealand captain | 2019 & 2021 World Cup finalist | SRH & GT top-order anchor,85,,,,,,
92,Sam Curran,England,ALL-ROUNDER,Capped,2 Cr,,Chennai Super Kings,England all-rounder | 2021 T20 World Cup Player of the Tournament | Left-arm pace & big hitting,75,,,,,,
93,Marco Jansen,South Africa,ALL-ROUNDER,Capped,1.25 Cr,,Punjab Kings,South Africa left-arm pace all-rounder | Tall new-ball & death bowler | Handy lower-order hitter,90,,,,,,
94,Daryl Mitchell,New Zealand,ALL-ROUNDER,Capped,2 Cr,,Chennai Super Kings,New Zealand middle-order all-rounder | 2023 ODI World Cup key batter,,,,,,,
95,Krunal Pandya,India,ALL-ROUNDER,Capped,2 Cr,,Royal Challengers Bengaluru,India left-arm spin all-rounder | Economical middle-overs bowler,80,,,,,,
96,Nitish Rana,India,ALL-ROUNDER,Capped,1.50 Cr,,Rajasthan Royals,India top-order all-rounder | Former KKR big-hitting batter,80,,,,,,
97,Washington Sundar,India,ALL-ROUNDER,Capped,2 Cr,,Gujarat Titans,India off-spin all-rounder | 2021 T20 World Cup squad | Versatile batting-order role,70,,,,,,
98,Shardul Thakur,India,ALL-ROUNDER,Capped,2 Cr,,,India seam-bowling all-rounder | CSK & KKR big-match performer | 2021 T20 WC squad,,,,,,,
99,K.S Bharat,India,WICKETKEEPER,Capped,75 L,,,India Test keeper-batter | Reliable middle-order option,,,,,,,
100,Alex Carey,Australia,WICKETKEEPER,Capped,1 Cr,,,Australia keeper-batter | 2023 ODI & 2021 T20 World Cup winner | Test WTC-winning keeper,,,,,,,
101,Donovan Ferreira,South Africa,WICKETKEEPER,Capped,75 L,,,South Africa power-hitting keeper-batter | Explosive lower-order finisher,,,,,,,
102,Shai Hope,West Indies,WICKETKEEPER,Capped,1.25 Cr,,,West Indies keeper-batter | ODI double-centurion | Experienced top-order anchor,,,,,,,
103,Josh Inglis,Australia,WICKETKEEPER,Capped,2 Cr,,Punjab Kings,Australia keeper-batter | 2024 T20 World Cup opener | Aggressive middle-order,70,,,,,,
104,Ryan Rickelton,South Africa,WICKETKEEPER,Capped,1 Cr,,Mumbai Indians,South Africa keeper-batter | Attacking top-order option,80,,,,,,
105,Deepak Chahar,India,BOWLER,Capped,2 Cr,,Mumbai Indians,India swing bowler | IPL hat-trick & new-ball threat | CSK title winner,75,,,,,,
106,Gerald Coetzee,South Africa,BOWLER,Capped,1.25 Cr,,Gujarat Titans,South Africa express pace | 2023 World Cup breakout | Aggressive wicket-taker,75,,,,,,
107,Akash Deep,India,BOWLER,Capped,1 Cr,,Lucknow Super Giants,India Test seamer | Reliable new-ball swing | LSG big-money buy (2025),65,,,,,,
108,Tushar Deshpande,India,BOWLER,Capped,1 Cr,,Rajasthan Royals,India seamer | Death-overs & change-up specialist,70,,,,,,
109,Lockie Ferguson,New Zealand,BOWLER,Capped,2 Cr,,Punjab Kings,New Zealand express pace | Consistently 150 kph | Death-overs specialist,80,,,,,,
110,Bhuvneshwar Kumar,India,BOWLER,Capped,2 Cr,,Royal Challengers Bengaluru,India swing veteran | Former IPL Purple Cap winner | Powerplay master,80,,,,,,
111,Mukesh Kumar,India,BOWLER,Capped,2 Cr,,Delhi Capitals,India seamer | Reliable middle & death overs | DC big-money buy (2025),75,,,,,,
112,Allah Ghazanfar,Afghanistan,BOWLER,Capped,75 L,,,Afghanistan's giant off-spinner | Emerging mystery spin talent,65,,,,,,
113,Akeal Hosein,West Indies,BOWLER,Capped,1.50 Cr,,,West Indies left-arm spinner | Economical powerplay option,,,,,,,
114,Keshav Maharaj,South Africa,BOWLER,Capped,75 L,,,South Africa's premier left-arm spinner | Test & white-ball wicket-taker,,,,,,,
115,Mujeeb Ur Rahman,Afghanistan,BOWLER,Capped,2 Cr,,,Afghanistan mystery spinner | PBKS & SRH powerplay wicket-taker,,,,,,,
116,Adil Rashid,England,BOWLER,Capped,2 Cr,,,England leg-spinner | 2019 & 2022 World Cup winner | World-class limited-overs bowler,,,,,,,
117,Vijayakanth Viyaskanth,Sri Lanka,BOWLER,Capped,75 L,,,Sri Lanka young leg-spinner | Emerging wrist-spin option,,,,,,,
118,Ricky Bhui,India,BATTER,Uncapped,30 L,,,,,,,,,,
119,Swastik Chhikara,India,BATTER,Uncapped,30 L,,,,,,,,,,
120,Aarya Desai,India,BATTER,Uncapped,30 L,,,,,,,,,,
121,Shubham Dubey,India,BATTER,Uncapped,30 L,,,,,,,,,,
122,Madhav Kaushik,India,BATTER,Uncapped,30 L,,,,,,,,,,
123,Pukhraj Mann,India,BATTER,Uncapped,30 L,,,,,,,,,,
124,Shaik Rasheed,India,BATTER,Uncapped,30 L,,,,,,,,,,
125,Himmat Singh,India,BATTER,Uncapped,30 L,,,,,,,,,,
126,Mayank Dagar,India,ALL-ROUNDER,Uncapped,30 L,,,,,,,,,,
127,Anshul Kamboj,India,ALL-ROUNDER,Uncapped,30 L,,,,,,,,,,
128,Mohd. Arshad Khan,India,ALL-ROUNDER,Uncapped,30 L,,,,,,,,,,
129,Darshan Nalkande,India,ALL-ROUNDER,Uncapped,30 L,,,,,,,,,,
130,Suyash Prabhudessai,India,ALL-ROUNDER,Uncapped,30 L,,,,,,,,,,
131,Anukul Roy,India,ALL-ROUNDER,Uncapped,30 L,,,,,,,,,,
132,Swapnil Singh,India,ALL-ROUNDER,Uncapped,30 L,,,,,,,,,,
133,Sanvir Singh,India,ALL-ROUNDER,Uncapped,30 L,,,,,,,,,,
134,Avanish Aravelly,India,WICKETKEEPER,Uncapped,30 L,,,,,,,,,,
135,Vansh Bedi,India,WICKETKEEPER,Uncapped,30 L,,,,,,,,,,
136,Saurav Chauhan,India,WICKETKEEPER,Uncapped,30 L,,,,,,,,,,
137,Harvik Desai,India,WICKETKEEPER,Uncapped,30 L,,,,,,,,,,
138,Tom Kohler-Cadmore,England,WICKETKEEPER,Uncapped,50 L,,,,,,,,,,
139,Kunal Rathore,India,WICKETKEEPER,Uncapped,30 L,,,,,,,,,,
140,B.R Sharath,India,WICKETKEEPER,Uncapped,30 L,,,,,,,,,,
141,Gurnoor Singh Brar,India,BOWLER,Uncapped,30 L,,,,,,,,,,
142,Mukesh Choudhary,India,BOWLER,Uncapped,30 L,,,,,,,,,,
143,Sakib Hussain,India,BOWLER,Uncapped,30 L,,,,,,,,,,
144,Vidwath Kaverappa,India,BOWLER,Uncapped,30 L,,,,,,,,,,
145,Rajan Kumar,India,BOWLER,Uncapped,30 L,,,,,,,,,,
146,Sushant Mishra,India,BOWLER,Uncapped,30 L,,,,,,,,,,
147,Arjun Tendulkar,India,BOWLER,Uncapped,30 L,,,,60,,,,,,
148,Zeeshan Ansari,India,BOWLER,Uncapped,30 L,,,,,,,,,,
149,Prince Choudhary,India,BOWLER,Uncapped,30 L,,,,,,,,,,
150,Himanshu Sharma,India,BOWLER,Uncapped,30 L,,,,,,,,,,
151,M. Siddharth,India,BOWLER,Uncapped,30 L,,,,,,,,,,
152,Digvesh Singh,India,BOWLER,Uncapped,30 L,,,,,,,,,,
153,Prashant Solanki,India,BOWLER,Uncapped,30 L,,,,,,,,,,
154,Jhathavedh Subramanyan,India,BOWLER,Uncapped,30 L,,,,,,,,,,
155,Finn Allen,New Zealand,BATTER,Capped,2 Cr,,,New Zealand explosive opener | Blistering powerplay strike rate,,,,,,,
156,Dewald Brevis,South Africa,BATTER,Capped,75 L,,,South Africa 'Baby AB' | Explosive young middle-order star | MI product,75,,,,,,
157,Ben Duckett,England,BATTER,Capped,2 Cr,,,England attacking opener | Test & white-ball run-scorer,,,,,,,
158,Manish Pandey,India,BATTER,Capped,75 L,,Kolkata Knight Riders,India top-order batter | SRH IPL 2016 title winner | Reliable middle-order,,,,,,,
159,Rilee Rossouw,South Africa,BATTER,Capped,2 Cr,,,South Africa left-hand power-hitter | Explosive middle-order batter,,,,,,,
160,Sherfane Rutherford,West Indies,BATTER,Capped,1.50 Cr,,,West Indies middle-order finisher | Big-hitting left-hander,75,,,,,,
161,Ashton Turner,Australia,BATTER,Capped,1 Cr,,,Australia middle-order batter | Powerful ball-striker,,,,,,,
162,James Vince,England,BATTER,Capped,2 Cr,,,England top-order batter | Elegant stroke-maker | Franchise T20 veteran,,,,,,,
163,Shahbaz Ahamad,India,ALL-ROUNDER,Capped,1 Cr,,,India left-arm spin all-rounder | RCB & GT economical bowler,,,,,,,
164,Moeen Ali,England,ALL-ROUNDER,Capped,2 Cr,,,England off-spin all-rounder | 2022 T20 World Cup winner | CSK title winner,75,,,,,,
165,Tim David,Australia,ALL-ROUNDER,Capped,2 Cr,,Royal Challengers Bengaluru,Australia's power-hitting finisher | Record-fast T20I century | Death-overs six machine,80,,,,,,
166,Deepak Hooda,India,ALL-ROUNDER,Capped,75 L,,Chennai Super Kings,India batting all-rounder | Big-hitting middle-order & handy off-spin,65,,,,,,
167,Will Jacks,England,ALL-ROUNDER,Capped,2 Cr,,Mumbai Indians,England all-rounder | Explosive opener & off-spin | MI big buy (2025),70,,,,,,
168,Azmatullah Omarzai,Afghanistan,ALL-ROUNDER,Capped,1.50 Cr,,Punjab Kings,Afghanistan seam-bowling all-rounder | 2023 World Cup all-round star,70,,,,,,
169,R. Sai Kishore,India,ALL-ROUNDER,Capped,75 L,,Punjab Kings,India left-arm spinner | Prolific domestic T20 wicket-taker,75,,,,,,
170,Romario Shepherd,West Indies,ALL-ROUNDER,Capped,1.50 Cr,,Royal Challengers Bengaluru,West Indies power-hitting all-rounder | Death-overs hitter & seam option,,,,,,,
171,Tom Banton,England,WICKETKEEPER,Capped,2 Cr,,,England keeper-batter | Explosive top-order stroke-maker,,,,,,,
172,Sam Billings,England,WICKETKEEPER,Capped,1.50 Cr,,,England keeper-batter | Franchise T20 veteran | CSK & DC option,75,,,,,,
173,Jordan Cox,England,WICKETKEEPER,Capped,1.25 Cr,,,England keeper-batter | Emerging middle-order talent,,,,,,,
174,Ben McDermott,Australia,WICKETKEEPER,Capped,75 L,,,Australia keeper-batter | Explosive top-order hitter,,,,,,,
175,Kusal Mendis,Sri Lanka,WICKETKEEPER,Capped,75 L,,,Sri Lanka keeper-batter & captain | Reliable middle-order anchor,,,,,,,
176,Kusal Perera,Sri Lanka,WICKETKEEPER,Capped,75 L,,,Sri Lanka keeper-batter | Explosive left-hand opener | ODI double-centurion,,,,,,,
177,Josh Philippe,Australia,WICKETKEEPER,Capped,75 L,,,Australia keeper-batter | Aggressive top-order option,,,,,,,
178,Tim Seifert,New Zealand,WICKETKEEPER,Capped,1.25 Cr,,,New Zealand keeper-batter | Explosive middle-order finisher,,,,,,,
179,Nandre Burger,South Africa,BOWLER,Capped,1.25 Cr,,,South Africa left-arm quick | Sharp new-ball swing,80,,,,,,
180,Spencer Johnson,Australia,BOWLER,Capped,2 Cr,,Kolkata Knight Riders,"Australia left-arm express pace | Tall, skiddy new-ball threat",65,,,,,,
181,Umran Malik,India,BOWLER,Capped,75 L,,,India express pace | Clocked 157 kph | Raw speed sensation,,,,,,,
182,Mustafizur Rahman,Bangladesh,BOWLER,Capped,2 Cr,,,Bangladesh left-arm quick | Cutter & slower-ball specialist | Death-overs expert,,,,,,,
183,Ishant Sharma,India,BOWLER,Capped,75 L,,Gujarat Titans,India pace veteran | 300-plus Test wickets | Experienced new-ball option,80,,,,,,
184,Nuwan Thushara,Sri Lanka,BOWLER,Capped,75 L,,Royal Challengers Bengaluru,Sri Lanka seamer | Deceptive slower balls & yorkers,,,,,,,
185,Naveen Ul Haq,Afghanistan,BOWLER,Capped,2 Cr,,,Afghanistan seamer | Death-overs & new-ball wicket-taker,,,,,,,
186,Jaydev Unadkat,India,BOWLER,Capped,1 Cr,,Sunrisers Hyderabad,India left-arm swing veteran | Former RR captain | New-ball specialist,70,,,,,,
187,Umesh Yadav,India,BOWLER,Capped,2 Cr,,,India pace veteran | IPL new-ball wicket-taker | KKR title winner,,,,,,,
188,Rishad Hossain,Bangladesh,BOWLER,Capped,75 L,,,Bangladesh leg-spin all-rounder | Attacking wrist-spinner,,,,,,,
189,Zahir Khan Pakten,Afghanistan,BOWLER,Capped,75 L,,,Afghanistan left-arm wrist-spinner | Emerging mystery spin option,,,,,,,
190,Nqabayomzi Peter,South Africa,BOWLER,Capped,75 L,,,South Africa emerging quick | Sharp pace prospect,,,,,,,
191,Tanveer Sangha,Australia,BOWLER,Capped,75 L,,,Australia leg-spinner | Attacking wrist-spin talent,,,,,,,
192,Tabraiz Shamsi,South Africa,BOWLER,Capped,2 Cr,,,South Africa's leading T20I left-arm wrist-spinner | Consistent wicket-taker,,,,,,,
193,Jeffery Vandersay,Sri Lanka,BOWLER,Capped,75 L,,,Sri Lanka leg-spinner | Experienced limited-overs wrist-spinner,,,,,,,
194,Sachin Baby,India,BATTER,Uncapped,30 L,,,,,,,,,,
195,Priyam Garg,India,BATTER,Uncapped,30 L,,,,,,,,,,
196,Harnoor Pannu,India,BATTER,Uncapped,30 L,,,,,,,,,,
197,Smaran Ravichandran,India,BATTER,Uncapped,30 L,,,,,,,,,,
198,Shashwat Rawat,India,BATTER,Uncapped,30 L,,,,,,,,,,
199,Andre Siddarth,India,BATTER,Uncapped,30 L,,,,,,,,,,
200,Avneesh Sudha,India,BATTER,Uncapped,30 L,,,,,,,,,,
201,Apoorv Wankhade,India,BATTER,Uncapped,30 L,,,,,,,,,,
202,Yudhvir Charak,India,ALL-ROUNDER,Uncapped,30 L,,,,,,,,,,
203,Rishi Dhawan,India,ALL-ROUNDER,Uncapped,30 L,,,,,,,,,,
204,Rajvardhan Hangargekar,India,ALL-ROUNDER,Uncapped,30 L,,,,,,,,,,
205,Tanush Kotian,India,ALL-ROUNDER,Uncapped,30 L,,,,,,,,,,
206,Arshin Kulkarni,India,ALL-ROUNDER,Uncapped,30 L,,,,,,,,,,
207,Shams Mulani,India,ALL-ROUNDER,Uncapped,30 L,,,,,,,,,,
208,Shivam Singh,India,ALL-ROUNDER,Uncapped,30 L,,,,,,,,,,
209,Lalit Yadav,India,ALL-ROUNDER,Uncapped,30 L,,,,,,,,,,
210,Mohammed Azharuddeen,India,WICKETKEEPER,Uncapped,30 L,,,,,,,,,,
211,L.R Chethan,India,WICKETKEEPER,Uncapped,30 L,,,,,,,,,,
212,Aryaman Singh Dhaliwal,India,WICKETKEEPER,Uncapped,30 L,,,,,,,,,,
213,Urvil Patel,India,WICKETKEEPER,Uncapped,30 L,,,,,,,,,,
214,Sanskar Rawat,India,WICKETKEEPER,Uncapped,30 L,,,,,,,,,,
215,Bipin Saurabh,India,WICKETKEEPER,Uncapped,30 L,,,,,,,,,,
216,Tanay Thyagarajann,India,WICKETKEEPER,Uncapped,30 L,,,,,,,,,,
217,Money Grewal,India,BOWLER,Uncapped,30 L,,,,,,,,,,
218,Ashwani Kumar,India,BOWLER,Uncapped,30 L,,,,,,,,,,
219,Ishan Porel,India,BOWLER,Uncapped,30 L,,,,,,,,,,
220,Abhilash Shetty,India,BOWLER,Uncapped,30 L,,,,,,,,,,
221,Akash Singh,India,BOWLER,Uncapped,30 L,,,,,,,,,,
222,Gurjapneet Singh,India,BOWLER,Uncapped,30 L,,,,,,,,,,
223,Basil Thampi,India,BOWLER,Uncapped,30 L,,,,,,,,,,
224,Murugan Ashwin,India,BOWLER,Uncapped,30 L,,,,,,,,,,
225,Shreyas Chavan,India,BOWLER,Uncapped,30 L,,,,,,,,,,
226,Chintal Gandhi,India,BOWLER,Uncapped,30 L,,,,,,,,,,
227,Raghav Goyal,India,BOWLER,Uncapped,30 L,,,,,,,,,,
228,Jagadeesha Suchith,India,BOWLER,Uncapped,30 L,,,,,,,,,,
