player_name,base_price,role,nationality,set,image_file,image_source,source_url
Jofra Archer,2 Cr,Foreign Bowlers,Foreign,Set 1,jofra-archer.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/181.png
Jos Buttler,2 Cr,Wicket Keepers,Foreign,Set 1,jos-buttler.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/182.png
Josh Hazlewood,2 Cr,Foreign Bowlers,Foreign,Set 1,josh-hazlewood.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/36.png
Josh Inglis,2 Cr,Wicket Keepers,Foreign,Set 1,josh-inglis.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/647.png
KL Rahul,2 Cr,Indian Batters,Indian,Set 1,kl-rahul.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/19.png
Krunal Pandya,2 Cr,All Rounders,Indian,Set 1,krunal-pandya.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/17.png
Kuldeep Yadav,2 Cr,Indian Bowlers,Indian,Set 1,kuldeep-yadav.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/14.png
Marcus Stoinis,2 Cr,Foreign Batters,Foreign,Set 1,marcus-stoinis.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/23.png
Mitch Marsh,2 Cr,Foreign Batters,Foreign,Set 1,mitch-marsh.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/40.png
Mitch Santner,2 Cr,All Rounders,Foreign,Set 1,mitch-santner.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/75.png
Mitchell Starc,2 Cr,Foreign Bowlers,Foreign,Set 1,mitchell-starc.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/31.png
Mohammed Shami,2 Cr,Indian Bowlers,Indian,Set 1,mohammed-shami.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/47.png
Mohammed Siraj,2 Cr,Indian Bowlers,Indian,Set 1,mohammed-siraj.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/63.png
MS Dhoni,2 Cr,Wicket Keepers,Indian,Set 1,ms-dhoni.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/57.png
Mustafizur Rahman,2 Cr,Foreign Bowlers,Foreign,Set 1,mustafizur-rahman.jpg,repo-iplt20,https://brightcove.iplt20.com/output/input/6386554858112-1765893028.jpg
Nicolas Pooran,2 Cr,Wicket Keepers,Foreign,Set 1,nicolas-pooran.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/136.png
Pat Cummins,2 Cr,All Rounders,Foreign,Set 1,pat-cummins.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/33.png
Phil Salt,2 Cr,Foreign Batters,Foreign,Set 1,phil-salt.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/1220.png
Rachin Ravindra,2 Cr,All Rounders,Foreign,Set 1,rachin-ravindra.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/724.png
Ravi Bishnoi,2 Cr,Indian Bowlers,Indian,Set 1,ravi-bishnoi.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/520.png
Ravindra Jadeja,2 Cr,All Rounders,Indian,Set 1,ravindra-jadeja.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/46.png
Rishab Pant,2 Cr,Wicket Keepers,Indian,Set 1,rishab-pant.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/18.png
Rohit Sharma,2 Cr,Indian Batters,Indian,Set 1,rohit-sharma.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/6.png
Ruturaj Gaikwad,2 Cr,Indian Batters,Indian,Set 1,ruturaj-gaikwad.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/102.png
Sai Sudharsan,2 Cr,Indian Batters,Indian,Set 1,sai-sudharsan.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/976.png
Sanju Samson,2 Cr,Wicket Keepers,Indian,Set 1,sanju-samson.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/190.png
Shivam Dube,2 Cr,All Rounders,Indian,Set 1,shivam-dube.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/211.png
Shreyas Iyer,2 Cr,Indian Batters,Indian,Set 1,shreyas-iyer.png,avatar,
Shubman Gill,2 Cr,Indian Batters,Indian,Set 1,shubman-gill.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/62.png
Surya Kumar Yadav,2 Cr,Indian Batters,Indian,Set 1,surya-kumar-yadav.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/174.png
Tilak Varma,2 Cr,Indian Batters,Indian,Set 1,tilak-varma.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/993.png
Travis Head,2 Cr,Foreign Batters,Foreign,Set 1,travis-head.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/37.png
Trent Boult,2 Cr,Foreign Bowlers,Foreign,Set 1,trent-boult.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/66.png
Varun Chakaravarthy,2 Cr,Indian Bowlers,Indian,Set 1,varun-chakaravarthy.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/140.png
Virat Kohli,2 Cr,Indian Batters,Indian,Set 1,virat-kohli.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/2.png
Washington Sundar,2 Cr,All Rounders,Indian,Set 1,washington-sundar.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/20.png
Will Jacks,2 Cr,Foreign Batters,Foreign,Set 1,will-jacks.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/1941.png
Yashasvi Jaiswal,2 Cr,Indian Batters,Indian,Set 1,yashasvi-jaiswal.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/533.png
Ajinkya Rahane,1 Cr,Indian Batters,Indian,Set 1,ajinkya-rahane.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/44.png
Angkrish Raghuvanshi,1 Cr,Indian Batters,Indian,Set 1,angkrish-raghuvanshi.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/787.png
Ashutosh Sharma,1 Cr,Indian Batters,Indian,Set 1,ashutosh-sharma.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/3109.png
Ayush Badoni,1 Cr,Indian Batters,Indian,Set 1,ayush-badoni.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/985.png
Ben Duckett,1 Cr,Foreign Batters,Foreign,Set 1,ben-duckett.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/110.png
Deepak Chahar,1 Cr,Indian Bowlers,Indian,Set 1,deepak-chahar.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/91.png
Dewald Brevis,1 Cr,Foreign Batters,Foreign,Set 1,dewald-brevis.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/797.png
Finn Allen,1 Cr,Wicket Keepers,Foreign,Set 1,finn-allen.png,avatar,
Harshal Patel,1 Cr,Indian Bowlers,Indian,Set 1,harshal-patel.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/114.png
Jacob Bethell,1 Cr,Foreign Batters,Foreign,Set 1,jacob-bethell.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/869.png
Karun Nair,1 Cr,Indian Batters,Indian,Set 1,karun-nair.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/131.png
Khaleel Ahmed,1 Cr,Indian Bowlers,Indian,Set 1,khaleel-ahmed.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/8.png
Liam Livingstone,1 Cr,Foreign Batters,Foreign,Set 1,liam-livingstone.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/183.png
Marco Jansen,1 Cr,All Rounders,Foreign,Set 1,marco-jansen.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/586.png
Naman Dhir,1 Cr,Indian Batters,Indian,Set 1,naman-dhir.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/3107.png
Pathum Nissanka,1 Cr,Foreign Batters,Foreign,Set 1,pathum-nissanka.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/618.png
Prasidh Krishna,1 Cr,Indian Bowlers,Indian,Set 1,prasidh-krishna.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/150.png
Rinku Singh,1 Cr,Indian Batters,Indian,Set 1,rinku-singh.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/152.png
Shardul Thakur,1 Cr,Indian Bowlers,Indian,Set 1,shardul-thakur.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/105.png
Shashank Singh,1 Cr,Indian Batters,Indian,Set 1,shashank-singh.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/191.png
Sunil Narine,1 Cr,All Rounders,Foreign,Set 1,sunil-narine.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/156.png
Venkatesh Iyer,1 Cr,Indian Batters,Indian,Set 1,venkatesh-iyer.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/584.png
Wanindu Hasaranga,1 Cr,All Rounders,Foreign,Set 1,wanindu-hasaranga.png,avatar,
Yash Dayal,1 Cr,Indian Bowlers,Indian,Set 1,yash-dayal.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/978.png
Kamindu Mendis,50 L,Foreign Batters,Foreign,Set 1,kamindu-mendis.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/627.png
Nitish Rana,50 L,Indian Batters,Indian,Set 1,nitish-rana.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/148.png
Anrich Nortje,2 Cr,Foreign Bowlers,Foreign,Set 2,anrich-nortje.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/142.png
Devdutt Padikkal,2 Cr,Indian Batters,Indian,Set 2,devdutt-padikkal.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/200.png
Kasigo Rabada,2 Cr,Foreign Bowlers,Foreign,Set 2,kasigo-rabada.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/116.png
Kyle Jamieson,2 Cr,Foreign Bowlers,Foreign,Set 2,kyle-jamieson.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/382.png
Manish Pandey,2 Cr,Indian Batters,Indian,Set 2,manish-pandey.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/16.png
Matt Henry,2 Cr,Foreign Bowlers,Foreign,Set 2,matt-henry.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/71.png
Noor Ahmad,2 Cr,Foreign Bowlers,Foreign,Set 2,noor-ahmad.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/975.png
Priyansh Arya,2 Cr,Indian Batters,Indian,Set 2,priyansh-arya.png,avatar,
Rajat Patidar,2 Cr,Indian Batters,Indian,Set 2,rajat-patidar.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/597.png
Rovman Powell,2 Cr,Foreign Batters,Foreign,Set 2,rovman-powell.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/329.png
Shimron Hetmyer,2 Cr,Foreign Batters,Foreign,Set 2,shimron-hetmyer.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/210.png
Tim David,2 Cr,Foreign Batters,Foreign,Set 2,tim-david.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/636.png
Tristan Stubbs,2 Cr,Foreign Batters,Foreign,Set 2,tristan-stubbs.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/1017.png
Abishek Porel,1 Cr,Wicket Keepers,Indian,Set 2,abishek-porel.png,avatar,
Akash Deep,1 Cr,Indian Bowlers,Indian,Set 2,akash-deep.png,avatar,
AM Ghazanfar,1 Cr,Foreign Bowlers,Foreign,Set 2,am-ghazanfar.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/2761.png
Ayush Mhatre,1 Cr,Indian Batters,Indian,Set 2,ayush-mhatre.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/3497.png
Ben Dwarshuis,1 Cr,Foreign Batters,Foreign,Set 2,ben-dwarshuis.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/632.png
Blessing Muzarbani,1 Cr,Foreign Bowlers,Foreign,Set 2,blessing-muzarbani.png,avatar,
Brydon Carse,1 Cr,Foreign Bowlers,Foreign,Set 2,brydon-carse.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/1221.png
Cooper Connolly,1 Cr,Foreign Batters,Foreign,Set 2,cooper-connolly.png,avatar,
Dhruv Jurel,1 Cr,Wicket Keepers,Indian,Set 2,dhruv-jurel.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/1004.png
Dian Forrester,1 Cr,Foreign Bowlers,Foreign,Set 2,dian-forrester.png,avatar,
Donovan Ferreira,1 Cr,Foreign Batters,Foreign,Set 2,donovan-ferreira.png,avatar,
Gurnoor Brar,1 Cr,Indian Bowlers,Indian,Set 2,gurnoor-brar.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/1231.png
Ishant Sharma,1 Cr,Indian Bowlers,Indian,Set 2,ishant-sharma.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/50.png
Jacob Duffy,1 Cr,Foreign Bowlers,Foreign,Set 2,jacob-duffy.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/1701.png
Jaydev Unadkat,1 Cr,Indian Bowlers,Indian,Set 2,jaydev-unadkat.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/180.png
Jitesh Sharma,1 Cr,Wicket Keepers,Indian,Set 2,jitesh-sharma.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/1000.png
Keshav Maharaj,1 Cr,Indian Bowlers,Foreign,Set 2,keshav-maharaj.jpg,web-wikimedia,
Kwen Maphaka,1 Cr,Foreign Bowlers,Foreign,Set 2,kwen-maphaka.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/801.png
Lockie Ferguson,1 Cr,Foreign Bowlers,Foreign,Set 2,lockie-ferguson.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/69.png
Manav Suthar,1 Cr,Indian Bowlers,Indian,Set 2,manav-suthar.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/2443.png
Matheesha Pathirana,1 Cr,Foreign Bowlers,Foreign,Set 2,matheesha-pathirana.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/1014.png
Nandre Burger,1 Cr,Foreign Bowlers,Foreign,Set 2,nandre-burger.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/2806.png
Nathan Ellis,1 Cr,Indian Bowlers,Foreign,Set 2,nathan-ellis.png,avatar,
Nitish Kumar Reddy,1 Cr,All Rounders,Indian,Set 2,nitish-kumar-reddy.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/1944.png
Prabhsimran Singh,1 Cr,Wicket Keepers,Indian,Set 2,prabhsimran-singh.png,avatar,
Quinton de Kock,1 Cr,Wicket Keepers,Foreign,Set 2,quinton-de-kock.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/170.png
Romario Shepherd,1 Cr,All Rounders,Foreign,Set 2,romario-shepherd.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/371.png
Ryan Rickelton,1 Cr,Wicket Keepers,Foreign,Set 2,ryan-rickelton.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/743.png
Sai Kishore,1 Cr,Indian Bowlers,Indian,Set 2,sai-kishore.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/544.png
Anshul Kamboj,50 L,Indian Bowlers,Indian,Set 2,anshul-kamboj.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/3106.png
Anuj Rawat,50 L,Wicket Keepers,Indian,Set 2,anuj-rawat.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/534.png
Corbin Bosch,50 L,All Rounders,Foreign,Set 2,corbin-bosch.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/1041.png
Digvesh Singh Rathi,50 L,Indian Bowlers,Indian,Set 2,digvesh-singh-rathi.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/3565.png
Dilshan Madhushanka,50 L,Foreign Bowlers,Foreign,Set 2,dilshan-madhushanka.png,avatar,
Eshan Malinga,50 L,Foreign Bowlers,Foreign,Set 2,eshan-malinga.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/3339.png
Matt Short,50 L,Foreign Batters,Foreign,Set 2,matt-short.png,avatar,
Mukesh Choudhary,50 L,Indian Bowlers,Indian,Set 2,mukesh-choudhary.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/970.png
Nehal Wadhera,50 L,Indian Batters,Indian,Set 2,nehal-wadhera.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/1541.png
Rahul Tewatia,50 L,Indian Batters,Indian,Set 2,rahul-tewatia.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/120.png
Sameer Rizvi,50 L,Indian Batters,Indian,Set 2,sameer-rizvi.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/1229.png
Sandeep Sharma,50 L,Indian Bowlers,Indian,Set 2,sandeep-sharma.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/220.png
Sarfaraz Khan,50 L,Indian Batters,Indian,Set 2,sarfaraz-khan.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/139.png
Shahrukh Khan,50 L,Indian Batters,Indian,Set 2,shahrukh-khan.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/590.png
Avesh Khan,30 L,Indian Bowlers,Indian,Set 2,avesh-khan.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/109.png
David Payne,30 L,Foreign Bowlers,Foreign,Set 2,david-payne.png,avatar,
Gurjapneet Singh,30 L,Indian Bowlers,Indian,Set 2,gurjapneet-singh.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/2256.png
Luke Wood,30 L,Foreign Bowlers,Foreign,Set 2,luke-wood.png,avatar,
Rahul Chahar,30 L,Indian Bowlers,Indian,Set 2,rahul-chahar.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/171.png
Suyash Sharma,30 L,Indian Bowlers,Indian,Set 2,suyash-sharma.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/1932.png
Vaibhav Arora,30 L,Indian Bowlers,Indian,Set 2,vaibhav-arora.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/583.png
Zak Foulkes,30 L,Foreign Bowlers,Foreign,Set 2,zak-foulkes.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/3493.png
Abdul Samad,50 L,Indian Batters,Indian,Set 3,abdul-samad.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/525.png
Aniket Varma,50 L,Indian Batters,Indian,Set 3,aniket-varma.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/3576.png
Lungi Ngidi,50 L,Foreign Bowlers,Foreign,Set 3,lungi-ngidi.png,avatar,
Prasant Veer,50 L,Indian Batters,Indian,Set 3,prasant-veer.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/4541.png
Prithvi Shaw,50 L,Indian Batters,Indian,Set 3,prithvi-shaw.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/51.png
Rahul Tripathi,50 L,Indian Batters,Indian,Set 3,rahul-tripathi.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/188.png
Vaibhav Sooryavanshi,50 L,Indian Batters,Indian,Set 3,vaibhav-sooryavanshi.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/3498.png
Akash Madhwal,30 L,Indian Bowlers,Indian,Set 3,akash-madhwal.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2025/1045.png
Aman Khan,30 L,Indian Batters,Indian,Set 3,aman-khan.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/979.png
Ashok Sharma,30 L,Indian Bowlers,Indian,Set 3,ashok-sharma.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/980.png
Auqib Nabi,30 L,Indian Bowlers,Indian,Set 3,auqib-nabi.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/4543.png
Brijesh Sharma,30 L,Indian Bowlers,Indian,Set 3,brijesh-sharma.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/4551.png
Connor Esterhuizen,30 L,Wicket Keepers,Foreign,Set 3,connor-esterhuizen.png,avatar,
Daksh Kamra,30 L,Indian Batters,Indian,Set 3,daksh-kamra.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/4548.png
Dushmanth Chameera,30 L,Indian Bowlers,Foreign,Set 3,dushmanth-chameera.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/608.png
Harsh Dubey,30 L,Indian Bowlers,Indian,Set 3,harsh-dubey.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/1494.png
Himmat Singh,30 L,Indian Batters,Indian,Set 3,himmat-singh.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/203.png
Jack Edwards,30 L,All Rounders,Foreign,Set 3,jack-edwards.jpg,web-wikimedia,
Jayant Yadav,30 L,Indian Bowlers,Indian,Set 3,jayant-yadav.png,avatar,
Karthik Sharma,30 L,Wicket Keepers,Indian,Set 3,karthik-sharma.png,avatar,
Kulwant Khejroliya,30 L,Indian Bowlers,Indian,Set 3,kulwant-khejroliya.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/204.png
Kumar Kushagra,30 L,Wicket Keepers,Indian,Set 3,kumar-kushagra.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/3101.png
Macneil Noronha,30 L,Indian Batters,Indian,Set 3,macneil-noronha.png,avatar,
Madhav Tiwari,30 L,Indian Batters,Indian,Set 3,madhav-tiwari.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/3561.png
Manimaran Siddharth,30 L,Indian Bowlers,Indian,Set 3,manimaran-siddharth.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/532.png
Mukesh Kumar,30 L,Indian Bowlers,Indian,Set 3,mukesh-kumar.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/1462.png
Mukul Choudary,30 L,Indian Batters,Indian,Set 3,mukul-choudary.png,avatar,
Nishant Sindhu,30 L,Indian Batters,Indian,Set 3,nishant-sindhu.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/791.png
Praful Hinge,30 L,Indian Bowlers,Indian,Set 3,praful-hinge.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/4558.png
Raj Bawa,30 L,Indian Bowlers,Indian,Set 3,raj-bawa.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/781.png
Rehan Ahmed,30 L,Foreign Batters,Foreign,Set 3,rehan-ahmed.jpg,web-wikimedia,
Ruchit Ahir,30 L,Indian Batters,Indian,Set 3,ruchit-ahir.png,avatar,
Sahil Parakh,30 L,Indian Batters,Indian,Set 3,sahil-parakh.png,avatar,
Sarthak Ranjan,30 L,Indian Batters,Indian,Set 3,sarthak-ranjan.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/4203.png
Saurabh Dubey,30 L,Indian Bowlers,Indian,Set 3,saurabh-dubey.png,avatar,
Shivang Kumar,30 L,Indian Bowlers,Indian,Set 3,shivang-kumar.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/4561.png
Tejasvi Dahiya,30 L,Wicket Keepers,Indian,Set 3,tejasvi-dahiya.png,avatar,
Tripurana Vijay,30 L,Indian Bowlers,Indian,Set 3,tripurana-vijay.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/3563.png
Urvil Patel,30 L,Wicket Keepers,Indian,Set 3,urvil-patel.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/1486.png
Vipraj Nigam,30 L,Indian Bowlers,Indian,Set 3,vipraj-nigam.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/3560.png
Yash Thakur,30 L,Indian Bowlers,Indian,Set 3,yash-thakur.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/1550.png
